AÑO,O,D,OPERACIÓN,TIPO DE CARGA,PRODUCTO,CARGA (TON/AÑO),ORIGEN_PROVINCIA,DESTINO_PROVINCIA,ORIGEN_REGION,DESTINO_REGION
2013,6,16,Importación,CONTENEDOR,Alimentos y bebidas,"7.729,4",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Alimentos y bebidas,"3,7",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Frutas,"1.873,6",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Frutas,1,Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Otros productos silvoagropecuarios,"4.069,9",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Otros productos,"10.723,7",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Otros productos,"493,5",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Manufacturas,"3.303,9",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Manufacturas,"11,3",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Maquinarias y vehículos,"6.356,5",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Maquinarias y vehículos,1.930,Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,CONTENEDOR,Materiales de Construcción,"10.047,2",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,16,Importación,NO CONTENEDOR,Materiales de Construcción,"11.603,4",Valparaíso,Colchagua,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Alimentos y bebidas,"5.259,9",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Alimentos y bebidas,"7,6",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Frutas,"1.915,7",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Frutas,1,Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Carne y pesca,"5.420,1",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Carne y pesca,"87,3",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Cobre y minerales metálicos,"1.855,2",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Cobre y minerales metálicos,"0,1",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Manufacturas,"3.363,3",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Manufacturas,"39,1",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,CONTENEDOR,Materiales de Construcción,"2.755,2",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,17,Importación,NO CONTENEDOR,Materiales de Construcción,"2.185,4",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,18,Importación,CONTENEDOR,Alimentos y bebidas,"23.374,3",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Alimentos y bebidas,"11,7",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Frutas,"944,4",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Frutas,"0,5",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Otros productos silvoagropecuarios,4.083,Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Otros productos silvoagropecuarios,"10,6",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Otros productos,"10.813,8",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Otros productos,"484,5",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Manufacturas,"25.158,7",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Manufacturas,2.866,Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Maquinarias y vehículos,"16.898,8",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,NO CONTENEDOR,Maquinarias y vehículos,"1.271,1",Valparaíso,Santiago,Valparaíso,Santiago
2013,6,18,Importación,CONTENEDOR,Productos químicos,"9.618,8",Valparaíso,Santiago,Valparaíso,Santiago
